Park2000,parkCode,RecreationalVisits2000,NonRecreationalVisits2000,TotalVisits2000,RecreationVisitorHours2000,NonRecreationVisitorHours2000,VisitorDays2000,ConcessionerLodging2000,ConcessionerCamping2000,TentOvernights2000,RecreationVehicleOvernights2000,BackcountryOvernights2000,MiscellaneousOvernights20000,NonRecreationOvernights2000,TotalRecreationVisits2000,TotalNonRecreationVisits2000,SumOfTotalVisits2000,TotalRecreationVisitorHours2000,TotalNonRecreationVisitorHours2000,TotalVisitorDays2000,TotalConcessionerLodging2000,TotalConcessionerCamping2000,TotalTentOvernights2000,TotalRecreationVehicleOvernights2000,TotalBackcountryOvernights2000,TotalMiscellaneousOvernights2000,TotalNonRecreationOvernights2000
Cape Lookout NS,CALO,"510,006","4,800","514,806","2,255,296","14,400","187,941","24,768",0,0,0,"9,051",591,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Capitol Reef NP,CARE,"629,306","71,720","701,026","1,168,917","71,720","97,409",0,0,"17,736","20,208","2,735","1,821",0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Capulin Volcano NM,CAVO,"62,541",415,"62,956","87,778",415,"7,314",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Carl Sandburg Home NHS,CARL,"35,727",0,"35,727","46,270",0,"3,855",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Carlsbad Caverns NP,CAVE,"481,809",0,"481,809","1,893,169",0,"157,764",0,0,0,0,133,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Casa Grande Ruins NM,CAGR,"128,797","2,160","130,957","109,478",216,"9,123",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Castillo de San Marcos NM,CASA,"655,512",0,"655,512","491,636",0,"40,969",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Castle Clinton NM,CACL,"4,644,312","8,350","4,652,662","2,344,657","15,208","195,388",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Catoctin Mountain Park,CATO,"499,321","212,779","712,100","2,076,991","24,328","173,082",0,0,"8,155","1,691",144,"29,947",0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Cedar Breaks NM,CEBR,"566,292","51,941","618,233","1,189,590","103,882","99,132",0,0,"1,933","1,234",0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Chaco Culture NHP,CHCU,"87,288","6,423","93,711","764,652","6,423","63,721",0,0,"12,394","4,608",0,173,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Chamizal NMEM,CHAM,"183,187","11,577","194,764","286,060","40,522","23,838",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Channel Islands NP,CHIS,"523,905","27,676","551,581","5,255,809","664,224","437,984",0,0,0,0,"10,525","69,339","43,815","286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Charles Pinckney NHS,CHPI,"23,014",0,"23,014","46,028",0,"3,835",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Chattahoochee River NRA,CHAT,"2,779,337",0,"2,779,337","11,117,348",0,"926,445",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Chesapeake & Ohio Canal NHP,CHOH,"2,729,740","11,880","2,741,620","5,924,148","11,880","493,679",0,0,"7,370",316,934,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Chickamauga & Chattanooga NMP,CHCH,"871,332","7,462,101","8,333,433","1,645,674","1,119,314","137,139",0,0,0,0,0,"1,646",0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Chickasaw NRA,CHIC,"1,412,210","1,718,406","3,130,616","5,537,933","137,474","461,494",0,0,"46,695","26,239",0,"22,233",0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Chiricahua NM,CHIR,"93,458","3,482","96,940","437,967","1,161","36,497",0,0,"5,226","6,117",0,"1,427",0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Christiansted NHS,CHRI,"99,287",0,"99,287","52,079",0,"4,339",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
City of Rocks NRES,CIRO,"71,522",0,"71,522","250,351",0,"20,862",0,0,0,0,1,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Clara Barton NHS,CLBA,"13,202",0,"13,202","13,202",0,"1,100",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Colonial NHP,COLO,"3,133,647","2,143,534","5,277,181","3,480,652","1,071,771","290,054",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Colorado NM,COLM,"281,393","297,416","578,809","873,232","148,709","72,769",0,0,"10,800","6,831",269,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Congaree NP,CONG,"93,982",0,"93,982","313,466",0,"26,122",0,0,0,0,590,986,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Coronado NMEM,CORO,"87,327","2,508","89,835","116,135","1,260","9,677",0,0,0,0,0,0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Cowpens NB,COWP,"209,234",0,"209,234","122,021",0,"10,168",0,0,0,0,0,87,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Crater Lake NP,CRLA,"432,993","49,600","482,593","2,854,090","24,800","237,840","33,986","34,826","3,396",0,"1,514",0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Craters of the Moon NM & PRES,CRMO,"213,758",0,"213,758","609,041",0,"50,753",0,0,"5,389","6,371",125,570,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Cumberland Gap NHP,CUGA,"1,519,504","6,635,846","8,155,350","2,533,246","3,317,927","211,103",0,0,"3,592","6,659","1,873","2,736",0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
Cumberland Island NS,CUIS,"44,954",0,"44,954","777,542",0,"64,795",0,0,"12,603",0,"6,683",0,0,"286,618,040","145,834,303","432,452,343","1,279,572,043","79,406,052","106,631,003","3,677,638","1,014,293","3,443,094","2,564,236","1,941,751","2,881,548","363,652"
